No,Country,Year,Rank,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,Global Terrorism Index,Total Unemployment Rate,Education Index,Life Expectancy at Birth,Environmental Performance Index,Prison Population,Total
0,Sudan,2014,5th,9.60,10.00,9.90,8.10,8.20,8.70,9.30,9.10,9.30,8.60,9.70,9.60,1.84,5.22,0.82,8.30,8.43,0.84,Alert
1,Congo Democratic Republic,2014,4th,9.40,9.50,9.60,8.20,8.50,7.20,9.30,9.40,10.00,9.40,9.90,9.80,6.50,0.76,0.47,6.33,6.37,0.50,Alert
2,South Sudan,2014,1st,9.90,10.00,10.00,8.80,8.90,6.80,9.70,9.90,9.90,9.10,10.00,9.90,0.00,0.86,0.71,7.49,7.99,0.78,Alert
3,Somalia,2014,2nd,9.40,10.00,9.30,9.10,8.70,8.90,9.10,9.60,9.80,9.50,10.00,9.20,0.16,1.50,0.77,6.65,8.16,0.85,Alert
4,Central African Republic,2014,3rd,9.90,9.70,9.50,7.80,9.40,7.00,9.50,9.70,9.50,8.70,10.00,9.90,5.25,1.12,0.89,8.20,3.36,0.92,Alert
5,Yemen,2014,8th,9.50,9.40,9.30,9.10,7.80,7.30,8.90,8.50,9.00,9.10,9.00,8.50,3.57,0.38,0.46,7.53,8.24,0.49,Alert
6,Guinea,2014,12th,9.20,9.60,8.40,8.90,7.90,7.50,9.90,9.20,8.50,8.00,8.30,7.30,5.52,2.24,0.73,7.34,6.01,0.75,Alert
7,Afghanistan,2014,7th,10.00,9.40,8.70,8.30,7.50,7.80,9.50,9.00,8.30,8.80,9.30,9.90,5.60,1.82,0.40,6.04,2.71,0.48,Alert
8,Guinea Bissau,2014,16th,8.60,9.60,6.00,8.40,8.10,8.30,9.30,9.10,7.50,8.50,8.10,9.10,7.86,1.38,0.51,7.18,4.24,0.64,Alert
9,Chad,2014,6th,9.10,9.80,8.50,7.70,8.80,8.30,9.40,10.00,9.50,9.60,9.80,8.20,1.59,1.28,0.34,5.07,4.95,0.35,Alert
10,Zimbabwe,2014,11th,8.10,10.00,8.10,8.30,8.30,8.30,9.30,8.80,8.60,8.90,8.40,7.70,0.00,1.92,0.68,5.85,8.32,0.84,Alert
11,Pakistan,2014,10th,9.90,9.50,10.00,7.50,7.60,6.90,8.50,7.60,8.60,8.80,8.80,9.30,1.72,0.96,0.21,7.49,6.59,0.35,Alert
12,Haiti,2014,9th,7.50,9.10,7.00,9.40,9.30,9.10,8.90,9.50,7.50,8.70,8.50,9.80,2.58,0.66,0.35,5.52,5.60,0.42,Alert
13,Iraq,2014,13th,10.00,9.60,10.00,7.00,8.10,8.00,8.70,7.70,8.70,8.00,8.50,7.90,0.24,2.26,0.53,6.80,6.07,0.62,Alert
14,Nigeria,2014,17th,9.50,9.50,9.80,7.30,8.90,7.00,8.80,9.00,8.70,8.30,6.90,6.00,4.41,0.70,0.48,6.48,6.09,0.56,Alert
15,Bangladesh,2014,29th,7.80,9.30,8.70,7.00,7.50,7.20,8.40,8.40,8.00,7.60,6.90,6.00,9.37,2.46,0.72,7.66,4.30,0.82,Alert
16,Kenya,2014,18th,8.20,9.30,9.30,7.90,8.00,7.80,8.40,8.20,6.80,8.70,8.20,8.20,1.18,1.34,0.84,8.35,6.25,0.90,Alert
17,Syria,2014,15th,10.00,9.60,10.00,6.70,6.90,6.90,9.80,7.20,9.90,6.00,10.00,8.60,0.01,0.62,0.82,5.74,7.64,0.88,Alert
18,Liberia,2014,24th,6.80,8.30,6.50,8.00,8.00,6.90,6.90,9.30,6.30,8.50,9.10,9.70,0.58,5.28,0.72,7.44,7.39,0.66,Alert
19,Rwanda,2014,34th,5.90,8.20,8.50,6.70,7.90,7.20,6.50,7.50,7.80,8.00,8.20,8.10,4.73,4.16,0.64,7.46,7.95,0.68,Alert
20,Cote dIvoire,2014,14th,8.80,9.40,9.00,7.40,7.60,7.00,8.80,8.70,8.70,7.80,9.10,9.40,0.00,0.54,0.68,7.94,3.69,0.78,Alert
21,Myanmar,2014,24th,8.00,8.60,9.30,7.00,8.10,5.30,9.30,8.30,8.00,7.30,8.20,6.90,0.00,5.38,0.73,6.91,6.71,0.70,Alert
22,Niger,2014,19th,8.40,8.90,7.50,8.10,7.90,6.60,7.80,9.30,7.30,9.30,8.20,8.60,1.45,0.96,0.55,6.59,6.42,0.64,Alert
23,Burundi,2014,21st,7.40,7.90,8.10,8.80,7.50,6.50,8.10,8.60,8.00,8.70,9.00,8.50,4.24,2.14,0.26,5.87,3.82,0.40,Alert
